3D打印	to 3D print
有着	to have
有码	pixelated or censored
有碍	to hinder
有礼貌	courteous
有神论	theism
有神论者	theist
有福	to be blessed
有种	to have guts
有穷	exhaustible
有空	to have time
有空儿	erhua form of 有空
有精神病	insane
有约在先	to have a prior engagem…
有线	wired
有线新闻网	Cable Network News
有线电视	cable television
有统计学意义	statistically significa…
有编制	having a permanent post
有缘	related
有缘无分	destined to meet but no…
有罪	guilty
有联系	to be connected
有胆量	courageous
有能力	able
有脸	lit. having face
有腔调	classy
有良心	conscientious
有色	colored
有色人种	colored races
有色眼镜	biased perspective
有色金属	non-ferrous metals
有节	segmented
有节制	temperate
有苦说不出	having unspeakable bitt…
有荤有素	to include both meat an…
有袋类	marsupial
有解	to have a solution
有识之士	a person with knowledge…
有话快说	spit it out!
有话要说	to speak one's mind
有说有笑	talking and laughing
有请	to request the pleasure…
有谱	to have a plan
有谱儿	erhua variant of 有譜|有谱
有责任	liable
有资格	to be entitled
有赖	to rely on
有赖于	see 有賴|有赖
有趣	interesting
有蹄动物	ungulates
有轨	tracked
有轨电车	streetcar
有边儿	to be likely or possible
有过之而无不及	not to be inferior in a…
有违	to run counter to
有道	to have attained the Way
有道是	as they say
有道理	to make sense
有鉴于此	in view of this
有钩绦虫	tapeworm
有钱	well-off
有钱人	rich person
有钱有势	rich and powerful
有钱有闲	to have money and time
有钱能使鬼推磨	lit. with money
有阴影	shadowy
有限	limited
有限元	finite element
有限元法	finite element method
有限公司	limited company
有限单元	finite element
有限群	finite group
有限集	finite set
有雄心	ambitious
有顷	shortly thereafter
有预谋	premeditated
有风	windy
有魅力	attractive
朊毒体	prion
朊病毒	prion
朋克	punk
朋党	clique
朋友	friend
朋友圈	Moments
朋友妻不可欺	you should not covet yo…
朋比为奸	to conspire
服丧	in mourning
服从	to obey
服他灵	voltaren
服众	to convince the masses
服侍	to attend to
服兵役	to serve in the army
服刑	to serve a prison sente…
服务	to serve
服务业	service industry
服务台	service desk
服务员	waiter
服务器	server
服务提供商	service provider
服务提供者	service provider
服务生	server
服务规章	service regulation
服务质量	Quality of Service
服务费	service charge
服帖	docile
服役	to serve in the army
服服帖帖	submissive
服毒	to take poison
服气	to be convinced
服法	to submit to the law
服满	to have completed the m…
服用	to take
服罪	to admit to a crime
服老	to admit to one's advan…
服膺	to bear in mind
服药	to take medicine
服装	dress
服装秀	fashion show
服软	to admit defeat
服输	to concede
服辩	written confession
服食	to take
服饰	apparel
朔城区	Shuocheng
朔州	see 朔州市
朔州市	Shuozhou
朔日	first day of the lunar …
朔月	new moon
朔望	the new moon
朔望潮	spring tide
朔风	north wind
朔风凛冽	The north wind is icy c…
朕兆	omen
朗县	Nang County or Nangxian
朗姆	rum
朗姆酒	rum
朗朗上口	to flow right off the t…
朗照	to shine brightly
朗诵	to read aloud with expr…
朗读	to read aloud
望京	Wangjing neighborhood o…
望城区	Wangcheng
望夫石	Amah Rock in Sha Tin 沙田
望奎	see 望奎縣|望奎县
望奎县	Wangkui
望女成凤	lit. to hope one's daug…
望子成龙	lit. to hope one's son …
望安乡	Wangan township in Peng…
望尘莫及	lit. to see only the ot…
望文生义	lit. view a text and in…
望族	distinguished or promin…
望日	the full moon
望月	full moon
望梅止渴	lit. to quench one's th…
望楼	watchtower
望江	see 望江縣|望江县
望江县	Wangjiang
望洋	to gaze into the air
望洋兴叹	lit. to gaze at the oce…
望眼欲穿	to anxiously await
望而兴叹	to sigh
望而却步	lit. to shrink back at …
望而生畏	to feel intimidated
望花区	Wanghua
望见	to espy
望诊	observation
望谟县	Wangmo
望远镜	telescope
望远镜座	Telescopium
望都县	Wangdu
望风	to be on the lookout
望风捕影	see 捕風捉影|捕风捉影
望风而逃	to flee at the mere sig…
朝三暮四	lit. say three in the m…
朝不保夕	at dawn
朝不虑夕	at dawn
朝中	North Korea-China
朝中社	abbr. for 朝鮮中央通訊社|朝鲜中央通…
朝乾夕惕	cautious and diligent a…
朝代	dynasty
朝令夕改	to make frequent or unp…
朝前	facing forwards
朝后	backwards
朝向	toward
朝圣	to make a pilgrimage
朝圣者	pilgrim
朝夕	morning and night
朝夕相处	to spend all one's time…
朝天	see 朝天區|朝天区
朝天区	Chaotian
朝天椒	chili pepper
朝山进香	to make a temple pilgri…
朝廷	court
朝思暮想	to yearn for sth day an…
朝房	reception room for offi…
朝拜	to worship
朝拜圣山	a pilgrimage to a holy …
朝政	affairs of state at the…
朝日	Asahi
朝日新闻	Asahi Shimbun
朝曦	early morning sunlight
朝服	court dress in former t…
朝朝	every day
朝朝暮暮	from dawn to dusk
朝核问题	Korean nuclear problem
朝歌	Zhaoge
朝气	vitality
朝气蓬勃	full of youthful energy
朝永振一郎	TOMONAGA Shin'ichirō
朝珠	court beads
朝生暮死	lit. born in the mornin…
朝着	towards
朝秦暮楚	serve Qin in the mornin…
朝纲	laws and discipline of …
朝臣	court councilor
朝花夕拾	"Dawn Blossoms Plucked …
朝见	to have an audience
朝觐	to give audience
朝贡	to present tribute
朝过夕改	to correct in the eveni…
朝野	all levels of society
朝门	entrance portal
朝闻夕改	lit. heard in the morni…
朝阳	see 朝陽市|朝阳市
朝阳产业	sunrise industry
朝阳区	Chaoyang
朝阳县	Chaoyang
朝阳市	Chaoyang
朝阳门	Chaoyangmen neighborhoo…
朝露	morning dew
朝露溘至	the morning dew will sw…
朝韩	North and South Korea
朝饔夕飧	lit. breakfast in the m…
朝鲜	North Korea
朝鲜中央通讯社	North Korean Central Ne…
朝鲜人	a North Korean
朝鲜八道	the eight provinces of …
朝鲜劳动党	Workers' Party of Korea
朝鲜半岛	Korean Peninsula
朝鲜太宗	King Taejong of Joseon …
朝鲜字母	hangul
朝鲜总督府	Japanese colonial admin…
朝鲜战争	Korean War
朝鲜文	Korean written language
朝鲜族	Korean ethnic group
朝鲜日报	Chosun Ilbo
朝鲜核谈	talks on North Korea's …
朝鲜海峡	Korea Strait
朝鲜筝	gayageum
朝鲜语	Korean language
期中	interim
期中考	mid-term exam
期冀	to hope for
期刊	periodical
期待	to look forward to
期房	forward delivery apartm…
期望	to have expectations
期望值	expectations
期期艾艾	stammering
期末	the end of a term or se…
期末考	final exam
期权	option
期满	to expire
期盼	to expect
期票	promissory note
期终	end of a fixed term
期考	end of term examination
期许	to hope
期货	abbr. for 期貨合約|期货合约
期货合约	futures contract
期间	period of time
期限	time limit
朦胧	dim
朦胧诗	Misty Poetry
木下	Kinoshita
木乃伊	mummy
木乃伊化	to mummify
木人石心	lit. body made of wood
木偶	puppet
木偶剧	puppet show
木偶戏	puppet show
木偶秀	puppet show
木兰	see 木蘭縣|木兰县
木兰县	Mulan
木兰属	Magnolia
木兰科	Magnoliaceae
木兰纲	Magnoliopsidae or Dicot…
木兰花	magnolia
木制	wooden
木刻	woodcut
木剑	wooden sword
木匠	carpenter
木华黎	Muqali or Mukhali
木卡姆	muqam
木卫一	Io
木卫三	Ganymede
木卫二	Europa
木卫四	Callisto
木吉他	acoustic guitar
木吒	Muzha
木器	wooden articles
木块	block
木垒	see 木壘哈薩克自治縣|木垒哈萨克自治县
木垒县	see 木壘哈薩克自治縣|木垒哈萨克自治县
木垒哈萨克自治县	Mori Kazakh Autonomous …
木头	wood
木子美	Mu Zimei
木屐	wooden clogs
木屑	wood shavings
木工	woodwork
木已成舟	lit. the timber has bee…
木料	lumber
木星	Jupiter
木曜日	Thursday
木本植物	woody plant
木杆	wooden pole
木材	wood
木板	slab
木柴	firewood
木栅线	Taipei Metro Muzha Line
木格措	Lake Mibgai Co or Miga …
木框	wooden frame
木桩	wooden pile
木桶	cask
木棉	cotton tree
木棉科	Bombacaceae
木棍	wooden stick
木槿	hibiscus
木炭	charcoal
木然	stupefied
木片	flat piece of wood
木版	woodblock
木版画	woodcut
木琴	xylophone
木瓜	papaya
木笛	recorder
木筏	wooden raft
木管乐器	woodwind instrument
木糖	xylose
木糖醇	xylitol
木耳	wood ear
木耳菜	Malabar spinach
木聚糖	xylan
木船	wooden boat
木芙蓉	cotton rose hibiscus
木菠萝	jackfruit
木薯	cassava
木薯淀粉	tapioca
木虱	woodlouse
木蠹蛾	wood moth
木讷	wooden and slow of spee…
木讷寡言	honest and unaffected b…
木讷老人	ungraduated ruler
木质	wooden
木质素	lignin
木质部	xylem
木酮糖	xylulose
木里	see 木里藏族自治縣|木里藏族自治县
木里县	see 木里藏族自治縣|木里藏族自治县
木里藏族自治县	Muli Tibetan Autonomous…
木钉	peg
木鞋	clogs
木香	costus root
木马	wooden horse
木马病毒	Trojan horse
木马计	wooden horse stratagem
木骨都束	Chinese name for Africa…
木鱼	mokugyo
木鱼花	see 柴魚片|柴鱼片
木齿耙	a rake
未了	unfinished
未亡人	widow
未便	not in a position to
未免	unavoidably
未决	as yet undecided
未几	soon
未删节版	unabridged edition
未卜	not yet divined
未卜先知	to foresee the future
未及	to not have had time
未受影响	unaffected
未受精	unfertilized
未可	cannot
未可厚非	not to be censured too …
未可同日而语	lit. mustn't speak of t…
未名	unnamed
未命名	untitled
未央	see 未央區|未央区
未央区	Weiyang
未始	not necessarily
未婚	unmarried
未婚夫	fiancé
未婚妻	fiancée
未定	undecided
未尝	not ever
未尝不可	acceptable
未必	not necessarily
未成	incomplete
未成冠	minor
未成年	underage
未成年人	minor
未成年者	minor
未敢苟同	can't agree with
未料	to not anticipate
未时	1-3 pm
未曾	hasn't
未有	is not
未来	future
未来主义	Futurism
未来学	future studies
未来式	future tense
未来派	Futurism
未果	to fail to eventuate
未然	in advance
未熟	unripe
未知	unknown
未知数	unknown number
未知数儿	erhua variant of 未知數|未知数
未竟	unfinished
未竟之志	unfulfilled ambition
未经	not having undergone
未经证实	unconfirmed
未置可否	to refuse to comment
未羊	Year 8
未老先衰	to age prematurely
未能	cannot
未能免俗	unable to break the cus…
未解	unsolved
未解之谜	unsolved mystery
未详	unknown
未达一间	differing only slightly
未遂	to fail to accomplish
未遑多让	see 不遑多讓|不遑多让
未雨绸缪	lit. before it rains
末世	last phase
末了	final part
末代	final generation
末代皇帝	The Last Emperor
末伏	the third of the three …
末位淘汰	sacking the worst-perfo…
末儿	powder
末叶	final years
末后	finally
末子	powder
末尾	end
末席	end seat
末年	the final years
末底改	Mordechai
末座	end seat
末日	Judgment Day
末日论	eschatology
末期	end
末梢	tip
末梢神经	peripheral nerve
末段	final segment
末流	late degenerate stage
末煤	slack coal
末班车	last bus or train
末端	tip
末篇	final installment
末艺	small skill
末节	inessentials
末路	dead end
末车	the last bus
末速	speed at the end of the…
末页	last page
本·拉登	Osama bin Laden
本业	business in which a com…
本乡	home village
本事	source material
本人	I
本位	standard
本位主义	selfish departmentalism
本位制	monetary standard
本位货币	local currency
本体	main part
本体论	ontology
本内特	Bennett
本分	one's part
本初子午线	the first meridian
本利	principal and interest
本台	this radio station
本名	original name
本命年	year of one's birth sign
本因坊	Honinbo
本因坊秀策	Honinbo Shusaku
本固枝荣	when the root is firm
本国	one's own country
本国人	natives of one's own co…
本土	one's native country
本土化	to localize
本土派	local faction
本地	local
本地人	native person
本地化	localization
本地管理界面	LMI
本垒	home base
本垒打	home run
本埠	this city
本处	here
本子	book
本字	original form of a Chin…
本家	a member of the same cl…
本尊	yidam
本小利微	to have very little cap…
本就	by nature
本尼迪	Benedictus
本届	current
本岛	main island
本州	Honshū
本币	local currency
本市	this city
本帮菜	Shanghainese food
本年度	this year
本应	should have
本底	background
本底计数	background count
本底调查	background investigation
本底辐射	background radiation
本影	umbra
本征值	eigenvalue
本征向量	eigenvector
本性	natural instincts
本性难移	It is hard to change on…
本息	principal and interest
本意	original idea
本我	id
本报	this newspaper
本文	this text
本族语	native language
本日	today
本星期	this week
本月	this month
本朝	the current dynasty
本期	the current period
本末	the whole course of an …
本末倒置	lit. to invert root and…
本本	notebook computer
本本主义	book worship
本本分分	decorous
本来	original
本来面目	true colors
本杰明	Benjamin
本杰明·富兰克林	Benjamin Franklin
本源	origin
本溪县	see 本溪滿族自治縣|本溪满族自治县
本溪市	Benxi
本溪满族自治县	Benxi Manchu Autonomous…
本生灯	Bunsen burner
本田	Honda
本益比	P⁄E ratio
本相	original form
本省人	people of this province
本真	true nature
本着	based on...
本票	cashier's check
本科	undergraduate course
本科生	undergraduate student
本科系	major
本笃十六世	Pope Benedict XVI
本纪	biographic sketch of an…
本职	one's job
本能	instinct
本色	inherent qualities
本草	a book on Chinese  medi…
本草纲目	Compendium of Medical H…
本行	one's line
本质	essence
本质上	essentially
本贯	ancestral home
本身	itself
本那比	see 本那比市
本那比市	Burnaby
本部	headquarters
本金	capital
本钱	capital
本领	skill
本题	the subject under discu…
札幌	Sapporo
札格拉布	Zagreb
札格瑞布	Zagreb
札记	reading notes
札达	see 札達縣|札达县
札达县	Zanda
札马剌丁	see 紮馬剌丁|扎马剌丁
札马鲁丁	see 紮馬剌丁|扎马剌丁
术前	preoperative
术后	postoperative
术语	term
术赤	Jöchi  Mongol army comm…
朱丽叶	Juliet or Juliette
朱云折槛	Zhu Yun breaks the rail…
朱允炆	Zhu Yuanwen
朱元璋	Zhu Yuanzhang
朱利亚尼	Giuliani
朱利安	Julian or Julien
朱厚照	Zhu Houzhao
朱古力	chocolate
朱子	Master Zhu
朱孝天	Ken Zhu
朱广沪	Zhu Guanghu
朱庇特	Jupiter
朱德	Zhu De
朱棣	Zhu Di
朱漆	red paint
朱熹	Zhu Xi or Chu Hsi
朱由校	personal name of fiftee…
朱瞻基	Zhu Zhanji
朱砂	cinnabar
朱祁钰	Zhu Qiyu
朱祁镇	Zhu Qizhen
朱立伦	Eric Chu
朱笔	brush dipped in red ink
朱红	vermilion
朱红灯	Zhu Hongdeng
朱背啄花鸟	scarlet-backed flowerpe…
朱自清	Zhu Ziqing
朱莉娅	Julia
朱诺	Juneau
朱迪亚	Judea
朱镕基	Zhu Rongji
朱雀	Zhuque
朱高炽	Zhu Gaochi
朱鹭	ibis
朱鹮	crested ibis
朴刀	sword with a curved bla…
朴子市	Puzi or Putzu City in C…
朴实	plain
朴实无华	simple
朴智星	Park Ji-sung
朴槿惠	Park Geun-hye
朴正熙	Park Chung-Hee
朴硝	mirabilite
朴素	plain and simple
朵颐	to munch
机不可失	No time to lose!
机不离手	to be unable to do with…
机件	component
机会	opportunity
机会主义	opportunism
机会成本	opportunity cost
机体	organism
机关	mechanism
机关布景	machine-operated stage …
机关报	official  newspaper
机关枪	machine gun
机关炮	machine cannon
机关车	locomotive
机制	mechanism
机务段	locomotive depot
机动	locomotive
机动性	flexibility
机动车	motor vehicle
机动车辆	motor vehicle
机变	improvisation
机器	machine
机器人	robot
机器人学	robotics
机器学习	machine learning
机器翻译	machine translation
机器脚踏车	motorcycle
机场	airport
机场大厦	airport terminal
机型	the specific model of a…
机壳	case
机头	the front  of a plane e…
机头座	headstock
机子	machine
机密	secret
机密性	confidentiality
机密文件	secret document
机尾	the rear  of a plane etc
机巧	cunning
机师	pilot
机床	machine tool
机库	hangar
机房	machine room
机敏	agility
机智	quick-witted
机杼	a loom
机构	mechanism
机枪	machine gun
机械	machine
机械人	robot
机械化	to mechanize
机械工	a mechanic
机械工人	mechanic
机械工程	mechanical engineering
机械师	mechanic
机械性	mechanical
机械战警	RoboCop
机械码	machine code
机械硬盘	hard disk drive
机械翻译	machine translation
机械能	mechanical energy
机械臂	robotic arm
机械表	mechanical watch
机械语言	machine language
机械钟	mechanical clock
机油	engine oil
机洗	to machine-wash
机灵	clever
机灵鬼	clever and quick-witted…
机理	mechanism
机甲	mecha
机电	machinery and power-gen…
机票	plane ticket
机箱	computer case
机组	flight crew
机缘	chance
机翻	machine translation
机翼	wing
机能	function
机舱	cabin of a plane
机要	involved in sensitive
机警	perceptive
机诈	deceitful
机谋	stratagem
机身	body of a vehicle or ma…
机车	locomotive
机运	chance and opportunity
机遇	opportunity
机长	pilot-in-command
机顶盒	set-top box
朽坏	rotten
朽木	rotten wood
朽木不可雕	lit. rotten wood cannot…
朽烂	rotten
杀一儆百	lit. kill one to warn a…
杀人	homicide
杀人不眨眼	to murder without blink…
杀人不过头点地	It's all exaggeration
杀人如草	see 殺人如麻|杀人如麻
杀人如麻	lit. to kill people lik…
杀人放火	to kill and burn
杀人未遂	attempted murder
杀人案	murder case
杀人案件	murder
杀人灭口	to kill sb to prevent t…
杀人犯	murderer
杀人狂	homicidal maniac
杀人越货	to kill sb for his prop…
杀人鲸	orca
杀价	to beat down the price
杀伤	to kill or injure
杀伤力	destructive power
杀出重围	to force one's way out …
杀千刀	damn
杀千刀的	bastard
杀头	to behead
杀婴	infanticide
杀害	to murder
杀富济贫	robbing the rich to hel…
杀彘教子	to kill a pig as a less…
杀戮	to massacre
杀手	killer
杀手级应用	killer application
杀手锏	trump card
杀掉	to kill
杀敌	to attack the enemy
杀机	desire to commit murder
杀死	to kill
杀毒	to disinfect
杀毒软件	antivirus software
杀气	murderous spirit
杀气腾腾	ferocious
杀灭	to exterminate
杀熟	to exploit the trust of…
杀牛宰羊	slaughter the cattle an…
杀猪宰羊	to kill the pigs and sl…
杀猪盘	pig butchering scam
杀生	to take the life of a l…
杀真菌	fungicidal
杀真菌剂	fungicide
杀绝	to exterminate
杀草快	diquat
杀菌	to kill germs
杀菌剂	a disinfectant
杀虫	insecticide
杀虫剂	insecticide
杀虫药	insecticide
杀螺剂	snail poison
杀身之祸	getting killed
杀身成仁	to die a martyr
杀软	antivirus software
杀进	to storm
杀进杀出	to execute a lightning …
杀青	to put the last hand to
杀马特	Chinese subculture of y…
杀鸡儆猴	lit. to kill the chicke…
杀鸡取卵	lit. to kill the chicke…
杀鸡吓猴	see 殺雞儆猴|杀鸡儆猴
杀鸡宰鹅	kill the chickens and b…
杀鸡焉用牛刀	don't use a sledgehamme…
杀鸡给猴看	lit. to kill a chicken …
杀鸡骇猴	see 殺雞儆猴|杀鸡儆猴
杀鼠药	rat poison
杂七杂八	an assortment
杂乱	in a mess
杂乱无章	disordered and in a mess
杂事	miscellaneous tasks
杂交	to hybridize
杂交植物	hybrid plant
杂交派对	sex party
杂件儿	miscellaneous goods
杂凑	to put together various…
杂剧	a Yuan dynasty form of …
杂剧四大家	Four Great Yuan Dramati…
杂务	odd jobs
杂处	to mix in with one anot…
杂多	see 雜多縣|杂多县
杂多县	Zadoi
杂家	Miscellaneous School of…
杂居	cohabitation
杂居地区	area of mixed habitation
杂工	unskilled worker
杂录	literary miscellany
杂役	odd jobs
杂志	magazine
杂志社	magazine publisher
杂念	distracting thoughts
杂感	random thoughts
杂技	acrobatics
杂技演员	acrobat
杂拌	assortment of preserved…
杂拌儿	erhua variant of 雜拌|杂拌
杂文	essay
杂沓	small craftsman
杂活	odd jobs
杂烩	a stew
杂牌	inferior brand
杂牌儿	erhua variant of 雜牌|杂牌
杂牌军	miscellaneous troops
杂物	junk
杂环	heterocyclic
杂碎	offal
杂种	hybrid
杂税	miscellaneous duties
杂粮	grain crops other than …
杂糅	to blend heterogeneous …
杂耍	a sideshow
杂色	varicolored
杂草	weeds
杂记	various notes or records
杂说	scattered essays
杂谈	discussion of various t…
杂谷脑	Zagunao River in Sichuan
杂货	groceries
杂货商	grocer
杂货店	grocery store
杂货摊	stall selling various g…
杂质	impurity
杂费	incidental costs
杂集	a miscellany
杂音	noise
杂项	miscellaneous
杂食	omnivorous
杂食动物	omnivore
权且	temporarily
权位	power and position
权充	to act temporarily as
权利	right
权利人	rightholder
权利声明	copyright statement
权利法案	bill of rights
权利要求	claim to rights
权力	power
权力斗争	power struggle
权力的游戏	Game of Thrones
权力纷争	power struggle
权势	power
权变	to do whatever is exped…
权威	authority
权威性	authority
权宜	expedient
权宜之策	stratagem of convenience
权宜之计	plan of convenience
权当	to act as if
权时	temporarily
权术	art of politics
权杖	scepter
权柄	authority
权欲熏心	obsessed by a craving f…
权游	Game of Thrones
权益	rights
权能	power
权衡	to consider
权衡利弊	to weigh the pros and c…
权证	warrant
权谋	trickery
权贵	influential officials
权重	weight
权限	scope of authority
杆子	pole
杆秤	a steelyard
杆菌	bacillus
杌凳	Chinese-style low stool
李世民	Li Shimin
李丽珊	Lee Lai-Shan
李亚鹏	Li Yapeng
李代数	Lie algebra
李代桃僵	lit. the plum tree with…
李会昌	Lee Hoi-chang
李伯元	Li Boyuan or Li Baojia …
李修贤	Danny Lee Sau-Yin
李儇	Li Xuan
李元昊	Li Yuanhao
李先念	Li Xiannian
李光耀	Lee Kuan Yew
李克强	Li Keqiang
李公朴	Li Gongpu
李冰冰	Li Bingbing
李劼人	Li Jieren
李卜克内西	Wilhelm Liebknecht
李卫公	Li Wei Gong
李叔同	Liu Shutong
李后主	Li Houzhu
李商隐	Li Shangyin
李嘉欣	Michele Monique Reis  a…
李嘉诚	Sir Li Ka-shing
李四	Li Si
李四光	Li Siguang
李国豪	Brandon Lee
李大钊	Li Dazhao
李天王	the pagoda bearing god
李天禄	Li Tianlu
李娜	Li Na
李子	plum
李季兰	Li Jilan or Li Ye 李冶
李宁	Li Ning
李宇春	Li Yuchun aka Chris Lee
李安	Ang Li
李宗仁	Li Zongren
李宗盛	Jonathan Lee
李宝嘉	Li Boyuan 李伯元 or Li Bao…
李富春	Li Fuchun
李小龙	Bruce Lee
李尔王	King Lear
李岚清	Li Lanqing
李希霍芬	Ferdinand von Richthofen
李延寿	Li Yanshou
李建成	Li Jiancheng
李开复	Kai-Fu Lee
李彦宏	Robin Li
李德林	Li Delin
李怀远	Li Huaiyuan
李恒	Li Heng
李悝	Li Kui
李成桂	Yi Seong-gye
李成江	Li Chengjiang
李承晚	Syngman Rhee
李振藩	Li Zhenfan
李政道	Tsung-Dao Lee
李敏勇	Li Minyong
李斯	Li Si
李斯特	Ferenc  Liszt
李斯特氏杆菌	listeria bacillus
李斯特氏菌	listeria bacillus
李斯特菌	Listeria monocytogene
李时珍	Li Shizhen
李昌镐	Lee Chang-ho
李明博	Lee Myung-bak
李显龙	Lee Hsien Loong
李晔	Li Ye
李朝威	Li Chaowei
李林甫	Li Linfu
李树	plum tree
李格非	Li Gefei
李氏	the Korean Yi or Lee Dy…
李氏朝鲜	Joseon
李汝珍	Li Ruzhen
李沧	see 李滄區|李沧区
李沧区	Licang
李治	Li Zhi
李泽楷	Richard Li
李洪志	Li Hongzhi
李清照	Li Qingzhao
李渊	Li Yuan
李源潮	Li Yuanchao
李漼	Li Cui
李煜	Li Yu
李玟	Coco Lee
李瑞环	Li Ruihuan
李登辉	Lee Teng-hui
李白	Li Bai
李百药	Li Baiyao
李直夫	Li Zhifu
李约瑟	Joseph Needham
李纯	Li Chun
李维史陀	Claude Lévi-Strauss
李维斯	Levi's
李绿园	Li Lüyuan
李肇星	Li Zhaoxing
李自成	Li Zicheng
李舜臣	Yi Sunshin
李英儒	Li Yingru
李诵	Li Song
李豫	Li Yu
李贽	Li Zhi
李远哲	Yuan T. Lee
李连杰	Jet Li
李适	Li Kuo
李逵	Li Kui
李重茂	Li Chongmao
李铁	Li Tie
李铁拐	Iron-Crutch Li
李长春	Li Changchun
李陵	Li Ling
李隆基	personal name of sevent…
李雪健	Li Xuejian
李靖	Li Jing
李鬼	false hero
李鸿章	Li Hung-chang or Li Hon…
李鹏	Li Peng
杏仁	almond
杏仁体	amygdala
杏仁核	amygdala
杏仁豆腐	almond tofu
杏子	apricot
杏林	Xinglin District of Xia…
杏林区	Xinglin District of Xia…
杏树	apricot tree
杏眼	large
杏花岭	see 杏花嶺區|杏花岭区
杏花岭区	Xinghualing
杏花村	village of blossoming a…
杏鲍菇	king oyster mushroom
材料	material
材料学	materials science
材料科学	materials science
材积	volume
材质	texture of timber
村上	Murakami
村上春树	MURAKAMI Haruki
村上隆	Murakami Takashi
村塾	village school
村夫	male villager
村妇	female villager
村姑	village girl
村委会	village committee
村子	village
村学	see 村塾
村寨	village
村山富市	Tomiichi Murayama
村庄	village
村民	villager
村田	Murata
村舍	cottage
村落	village
村证房	"village-certificated h…
村里	village
村镇	hamlet
村长	village chief
杖头木偶	zhangtou wooden rod pup…
杜仲	eucommia
杜伊斯堡	Duisburg
杜冷丁	dolantin
杜口裹足	too frightened to move …
杜嘉班纳	Dolce & Gabbana
杜塞尔多夫	Düsseldorf
杜塞道夫	Düsseldorf
杜威	Du Wei
杜宾犬	Doberman
杜尔伯特	see 杜爾伯特蒙古族自治縣|杜尔伯特蒙古族自…
杜尔伯特县	see 杜爾伯特蒙古族自治縣|杜尔伯特蒙古族自…
杜尔伯特蒙古族自治县	Dorbod Mongol Autonomou…
杜尚别	Dushanbe
杜布罗夫尼克	Dubrovnik
杜康	Du Kang
杜撰	to fabricate
杜月笙	Du Yuesheng
杜本内	Dubonnet
杜松子	juniper berry
杜松子酒	gin
杜梨	birchleaved pear
杜比	Dolby
杜氏腺	Dufour gland
杜氏腺体	Dufour gland
杜渐防萌	to nip in the bud
杜牧	Du Mu  Tang dynasty poet
杜琪峰	Johnnie To
杜瓦利埃	Duvalier
杜甫	Du Fu
杜甫草堂	Du Fu's Thatched Cottage
杜绝	to put an end to
杜荀鹤	Du Xunhe
杜莎夫人	Madame Tussaud
杜蕾斯	Durex
杜衡	Asarum forbesii
杜邦	DuPont
杜门	to close the door
杜门不出	to shut oneself indoors
杜集区	Duji
杜马	Duma
杜鹃	cuckoo
杜鹃啼血	lit. the cuckoo
杜鹃座	Tucana
杜鹃科	Cuculidae
杜鹃花	Indian Azalea
杜鹃花科	Ericaceae
杜鹃鸟	cuckoo
杞人之忧	lit. the fear held by a…
杞人忧天	lit. like the man of 杞 …
杞县	Qi County or Qixian
杞国之忧	see 杞人之憂|杞人之忧
杞国忧天	see 杞人憂天|杞人忧天
杞天之虑	see 杞人之憂|杞人之忧
杞梓之林	a multitude of talented…
束之高阁	tied up in a bundle on …
束发	to tie up one's hair
束手	to have one's hands tied
束手就擒	lit. to submit to havin…
束手就毙	hands tied and expectin…
束手待死	hands tied and expectin…
束手待毙	to wait helplessly for …
束手无策	lit. to have one's hand…
束手束脚	restricted
束手缚脚	see 束手束腳|束手束脚
束紧	gird
束线带	cable tie
束缚	to bind
束脩	salary of a private tut…
束腰	girdle
束腹	corset
束装	to bundle up
束身	to bind oneself
杠刀	to sharpen a knife
杠夫	pole carrier
杠头	chief coffin bearer
杠子	thick bar
杠杆	lever
杠杆收购	leveraged buyout
杠杠的	excellent
杠精	argumentative person
杠铃	barbell
条件	condition
条件反射	conditioned reflex
条件反应	conditioned response
条件句	conditional clause
条件式	conditional
条件概率	conditional probability
条例	regulations
条几	long narrow table
条凳	bench
条分缕析	to analyze thoroughly
条子	short note
条幅	wall scroll
条幅广告	banner advertisement
条形	a bar
条形图	bar chart
条形码	barcode
条播	to drill
条文	clause
条条大路通罗马	all roads lead to Rome
条条框框	fixed framework
条板箱	crate
条案	long narrow table
条款	clause
条理	arrangement
条畅	orderly and logical
条痕	weal
条目	clauses and sub-clauses
条码	barcode
条约	treaty
条纹	stripe
条规	rule
条贯	systematic arrangement
条陈	to lay out  item by item
来不及	there's not enough time
来不得	cannot allow
来世	afterlife
来临	to approach
来义乡	Laii township in Pingtu…
来之不易	hard to come by
来事	to be socially adept
来信	incoming letter
来凤县	Laifeng
来函	incoming letter
来到	to arrive
来劲	to be full of zeal
来势	momentum of sth approac…
来华	to come to China
来历	history
来历不明	of unknown origin
来去无踪	come without a shadow
来台	to come to Taiwan
来回	to make a round trip
来回来去	repeatedly
来复枪	rifle
来复线	rifling
来头	cause
来安	see 來安縣|来安县
来安县	Lai'an
来客	guest
来宾	see 來賓市|来宾市
来宾市	Laibin
来年	next year
来往	to come and go
来得	to emerge
来得及	to have enough time
来得早不如来得巧	arriving early can't be…
来意	one's purpose in coming
来文	received document
来日	future days
来日方长	the future is long
来港	to come to Hong Kong
来源	source
来源于	to originate in
来潮	to rise
来火	to get angry
来火儿	to get angry
来犯	to invade
来生	next life
来由	reason
来电	incoming telephone call
